nome,telefone,endereco,site,avaliacao,total_avaliacoes,place_id
Flowers Clinic - Clínica de Estética Avançada por Dra. Flora Martinez,(67) 99645-0496,"R. São Félix, 380 - Vila Vilas Boas, Campo Grande - MS, 79051-210, Brazil",https://floramartinez.com.br/,5,90,ChIJeYmDtmnphpQRMOZAa7KYm0c
"Clínica de Estética Dra. Fran | Harmonização Facial, Corporal e Botox",(67) 99233-9611,"R. Pedro Celestino, 3607 - Sala 201 - 2º Andar - Centro, Campo Grande - MS, 79004-560, Brazil",https://drafranvieira.com.br/,4.7,151,ChIJ8Sufq5PphpQR7i7lb3mwucM
Royal Face Clínica de Estética - Campo Grande,(67) 99237-7435,"Av. Mato Grosso, 2242 - Centro, Campo Grande - MS, 79020-200, Brazil",https://royalface.com.br/unidade/campo-grande-ms/,4.3,81,ChIJtyyDkqrphpQRII09cTOlFF4
"Dra. Andréia Campelo. Clínica de Estética Avançada, Melasma, Botox, Otomodelação, Harmonização facial em Campo Grande - MS.",(67) 99945-9750,"Edifício Classic - R. Pedro Celestino, 3607 - Salas 1504 e 1505 - Centro, Campo Grande - MS, 79010-780, Brazil",https://www.draandreiacampelo.com.br/,5,61,ChIJjSIpJTnnhpQR7L5dmq_80sQ
Clínica de Estética Emporium da Beleza - Campo Grande,(67) 99958-5655,"R. Dr. Paulo Machado, 1120 - Jardim Autonomista, Campo Grande - MS, 79021-460, Brazil",https://cadastros.emporiumdabeleza.com.br/emporiumcampogrande/,4.6,100,ChIJ55Z1TabphpQRYIHqBcaWmxs
Hollywood Saúde e Beleza | Campo Grande/MS,(67) 99132-1352,"R. Euclides da Cunha, 1451 - Santa Fe, Campo Grande - MS, 79021-200, Brazil",https://esteticahollywoodcg.com.br/,4.7,198,ChIJhUcRKGPphpQRARiHvTxBtN4
Consultório Dra. Adriana Lima - Estética Avançada,(67) 99924-1919,"The Place Corporate - Santa Fe, Campo Grande - MS, 79031-010, Brazil","https://api.whatsapp.com/send?phone=5567999241919&text=Oi,%20vim%20pelo%20Google%20e%20gostaria%20de%20mais%20informa%C3%A7%C3%B5es!",5,216,ChIJiWoJ2C3phpQRsO8e5LYnOoQ
Clínica de Estética Cláudia Massolim | Campo Grande MS,(67) 98168-1301,"R. Pernambuco, 2242 - Vila Gomes, Campo Grande - MS, 79022-340, Brazil",https://www.clinicaclaudiamassolim.com.br/,4.9,47,ChIJLel2GhHphpQRuhZudy3OCtk
Vitae Clinica de Estética Avançada - Unidade 2 Centro,(67) 99339-5863,"R. Pedro Coutinho, 211 - Jardim dos Estados, Campo Grande - MS, 79020-280, Brazil",https://sites.google.com/view/vitaecentrodeesteticaavancada,5,99,ChIJlw_HKtvphpQRX3XBOe61-Aw
Clínica,(67) 98156-5202,"Edifício Nacional - R. Dom Aquino, 1354 - Apto 67 - Centro, Campo Grande - MS, 79008-070, Brazil",http://bio.site/drapauliellimartins,4.9,17,ChIJFzIVK_nphpQRmnFWZ6m9KkY
Clínica de Estética Carolline Ferreira,(67) 99334-5009,"The Place Corporate - Torre I - Av. Afonso Pena, 4785 - Sala 1702 - Santa Fe, Campo Grande - MS, 79031-010, Brazil",https://beacons.ai/esteticacarollineferreira,4.9,42,ChIJB0mVK3fphpQRizcFe4N3Gxk
Micropigmentação e Estética avançada - Dra Camila Pitton,(67) 99651-6665,"R. Vinte e Cinco de Dezembro, 1350 - Monte Castelo, Campo Grande - MS, 79010-220, Brazil",,5,18,ChIJcx_NUMXphpQRWBTOOwEMTDE
Hof Clinic Campo Grande,(67) 99312-1884,"Av. Afonso Pena, 5723 - Chácara Cachoeira, Campo Grande - MS, 79031-010, Brazil",,4.4,80,ChIJezWGKs7phpQRtx6Ulm9MFrA
"Clínica Estética MagraSS Campo Grande, Emagrecimento, Criolipólise, Tratamento Gordura Localizada, Estria, Flacidez, Celulite",(67) 99840-5835,"R. da Paz, 656 - Centro, Campo Grande - MS, 79020-250, Brazil",https://www.unidadesmagrass.com.br/campogrande,4.8,470,ChIJcYDzODjphpQRZ_Ou8I9hz8c
Nelise Roza clinica e spa | Clínica de Estética | Campo Grande,,"R. Espírito Santo, 1527 - Vila Celia, Campo Grande - MS, 79022-330, Brazil",,5,116,ChIJKcAPk0zvhpQRiBZZlYcMEBc
Karina Bertonha - Esteticista e Cosmetóloga,(67) 99820-3459,"R. Raul Píres Barbosa, 997 - Sala 2 - Chácara Cachoeira, Campo Grande - MS, 79040-382, Brazil",https://www.instagram.com/kabertonha.esteticista,5,63,ChIJJWni9V7phpQRzJ9sH7R8vRA
"Clínica Refine – Botox, Bioestimulador, Harmonização Facial, Fios, Lipo Sem Corte, Preenchimento, Emagrecimento",(67) 99852-1797,"R. Rui Barbosa, 900 - Loja 5 - Centro, Campo Grande - MS, 79004-002, Brazil",https://clinicarefine.com.br/,5,25,ChIJZyKnzHrnhpQRdzIk_FBRSnE
Esteticista Allana Perroni - Estética Facial e Corporal,(67) 99324-0504,"R. Dr. Silvio de Andrade, 438 - Vila Planalto, Campo Grande - MS, 79009-130, Brazil",,5,51,ChIJC5oLD5bnhpQRJ5kRguyqfBQ
Royal Salutti - Clínica de Estética Avançada,(67) 98224-0931,"R. 15 de Novembro, 1093 - Centro, Campo Grande - MS, 79002-141, Brazil",https://beacons.ai/royalsalutti,4.8,41,ChIJ4wHPcxPnhpQROty-Y5anxXM
Clínica Ousee - Estética Facial e Corporal em Campo Grande,(67) 99209-3964,"R. Júlio Dantas, 127 - Jardim Sao Bento, Campo Grande - MS, 79004-080, Brazil","https://wa.me/556792093964?text=Ol%C3%A1,%20vim%20pelo%20Google%20e%20quero%20mais%20informa%C3%A7%C3%B5es!",5,7,ChIJ43zHOZzphpQRL9O9JEvKVVk
LaserStar Spa Urbano & Estética,(67) 99192-6127,"R. da Paz, 970 - Jardim dos Estados, Campo Grande - MS, 79020-250, Brazil",,5,222,ChIJe4b85JvohpQRR-JmM98dlFc
Bela | Estética e bem estar,(67) 98459-9693,"Tv. Zezé Flôres, 520 - Santa Fe, Campo Grande - MS, 79021-060, Brazil",https://belaesteticaebemestar.my.canva.site/bela,5,173,ChIJg1cx6cTlhpQRAx5e8boW1Fw
Men Spa & Estética,(67) 99204-5187,"Ao lado do shopping CG - R. Tab. Murilo Rolim, 30 - Vivenda do Bosque, Campo Grande - MS, 79021-400, Brazil",https://www.menspaestetica.com.br/,4.9,114,ChIJe-tstgjphpQRvx7imiDUg5Y
Shizen Beleza Massagem Estética Cabeleireiro Manicure Limpeza de Pele Dor Shiatsu cabelo reiki Spa Campo Grande MS,(67) 98111-9226,"R. Dr. Eduardo Machado Metelo, 245 - Chácara Cachoeira, Campo Grande - MS, 79040-830, Brazil",https://www.instagram.com/shizenbeautycentercg,4.8,115,ChIJHxn0VMHohpQRV3HxgfhzUvI
Instituto Samara Nocchi Estética Avançada,(67) 99969-3862,"Av. Nelly Martins, 1188 - Carandá Bosque, Campo Grande - MS, 79032-274, Brazil",https://beacons.ai/samara.nocchi,5,68,ChIJJzQnACjphpQRqCmwE1f18IE
Rafaela Barbosa Studio Beauty,,"Rua Dom Pedro 1, 1031 (casa2 - Cabreúva, Campo Grande - MS, 79009-500, Brazil",https://instagram.com/rafaelabarbosa_sb?utm_medium=copy_link,5,26,ChIJ8dLZJdfnhpQRTT3w5UGLlVU
Spa Express - Spa em Domicílio - Campo Grande,(67) 99877-4675,"R. Spipe Calarge, 175 - Jardim Tv Morena, Campo Grande - MS, 79050-261, Brazil",,5,16,ChIJ6yr8e3zphpQRZ6CK5qKZz4k
Esteticista Shara Leão - Estética Facial e Corporal - Designer de Sobrancelha - Depilação,(67) 98472-9282,"R. Santo Ângelo, 441 - Cel. Antonino, Campo Grande - MS, 79011-290, Brazil",,5,20,ChIJlQek-Zwuay4RQvHK9dvGzik
Esteticista Mariana Mazeto - Estética Facial e Corporal,(67) 99646-1332,"R. Sergipe, 1271 - sala 3 - Vila Célia, Campo Grande - MS, 79020-160, Brazil",,5,33,ChIJLQiw6GnphpQRv_MWa29tgy8
Studio Bela Face,(67) 99100-8455,"R. Ricardo Franco, 137 - Vila Sobrinho, Campo Grande - MS, 79110-030, Brazil",https://www.studiobelaface.com.br/,5,43,ChIJacbi9KznhpQR02xxq9jfQaA
Gründler SPA,(67) 99282-7283,"R. Marco Túlio Murano Garcia - Chácara Cachoeira, Campo Grande - MS, 79040-045, Brazil",https://www.instagram.com/grundlerspa/,5,45,ChIJVaOFM3HphpQRdPQ9lN6uaS4
